filename,label,cam
selfharm_day_1018_blue_wsh - 20of60,scratching_neck,testbed
selfharm_day_1018_blue_wsh - 21of60,scratching_neck,testbed
selfharm_day_1018_blue_wsh - 24of60,scratching_neck,testbed
selfharm_night_1018_blue_wsh - 22of38,scratching_neck,testbed
selfharm_night_1018_blue_wsh - 23of38,scratching_neck,testbed
selfharm_night_1018_blue_wsh - 27of38,scratching_neck,testbed
selfharm_day_1018_blue_wsh_02 - 20of60,scratching_neck,testbed
selfharm_day_1018_blue_wsh_02 - 21of60,scratching_neck,testbed
selfharm_day_1018_blue_wsh_02 - 24of60,scratching_neck,testbed
selfharm_night_1018_blue_wsh_02 - 22of38,scratching_neck,testbed
selfharm_night_1018_blue_wsh_02 - 23of38,scratching_neck,testbed
selfharm_night_1018_blue_wsh_02 - 27of38,scratching_neck,testbed
selfharm_day_1018_blue_wsh - 22of60,scratching_arm,testbed
selfharm_day_1018_blue_wsh - 23of60,scratching_arm,testbed
selfharm_night_1018_blue_wsh - 20of38,scratching_arm,testbed
selfharm_night_1018_blue_wsh - 21of38,scratching_arm,testbed
selfharm_night_1018_blue_wsh - 25of38,scratching_arm,testbed
selfharm_night_1018_blue_wsh - 26of38,scratching_arm,testbed
selfharm_day_1018_blue_wsh_02 - 22of60,scratching_arm,testbed
selfharm_day_1018_blue_wsh_02 - 23of60,scratching_arm,testbed
selfharm_night_1018_blue_wsh_02 - 20of38,scratching_arm,testbed
selfharm_night_1018_blue_wsh_02 - 21of38,scratching_arm,testbed
selfharm_night_1018_blue_wsh_02 - 25of38,scratching_arm,testbed
selfharm_night_1018_blue_wsh_02 - 26of38,scratching_arm,testbed
selfharm_day_1018_blue_wsh - 25of60,choking_cloth,testbed
selfharm_day_1018_blue_wsh - 26of60,choking_cloth,testbed
selfharm_day_1018_blue_wsh - 27of60,choking_cloth,testbed
selfharm_day_1018_blue_wsh - 28of60,choking_cloth,testbed
selfharm_day_1018_blue_wsh - 29of60,choking_cloth,testbed
selfharm_night_1018_blue_wsh - 14of38,choking_cloth,testbed
selfharm_night_1018_blue_wsh - 15of38,choking_cloth,testbed
selfharm_night_1018_blue_wsh - 16of38,choking_cloth,testbed
selfharm_night_1018_blue_wsh - 17of38,choking_cloth,testbed
selfharm_night_1018_blue_wsh - 18of38,choking_cloth,testbed
selfharm_day_1018_blue_wsh_02 - 25of60,choking_cloth,testbed
selfharm_day_1018_blue_wsh_02 - 26of60,choking_cloth,testbed
selfharm_day_1018_blue_wsh_02 - 27of60,choking_cloth,testbed
selfharm_day_1018_blue_wsh_02 - 28of60,choking_cloth,testbed
selfharm_day_1018_blue_wsh_02 - 29of60,choking_cloth,testbed
selfharm_night_1018_blue_wsh_02 - 14of38,choking_cloth,testbed
selfharm_night_1018_blue_wsh_02 - 15of38,choking_cloth,testbed
selfharm_night_1018_blue_wsh_02 - 16of38,choking_cloth,testbed
selfharm_night_1018_blue_wsh_02 - 17of38,choking_cloth,testbed
selfharm_night_1018_blue_wsh_02 - 18of38,choking_cloth,testbed
selfharm_day_1018_blue_wsh - 1of60,hittinghead_wall,testbed
selfharm_day_1018_blue_wsh - 3of60,hittinghead_wall,testbed
selfharm_day_1018_blue_wsh - 4of60,hittinghead_wall,testbed
selfharm_day_1018_blue_wsh - 5of60,hittinghead_wall,testbed
selfharm_day_1018_blue_wsh - 6of60,hittinghead_wall,testbed
selfharm_day_1018_blue_wsh - 7of60,hittinghead_wall,testbed
selfharm_night_1018_blue_wsh - 1of38,hittinghead_wall,testbed
selfharm_night_1018_blue_wsh - 2of38,hittinghead_wall,testbed
selfharm_night_1018_blue_wsh - 3of38,hittinghead_wall,testbed
selfharm_day_1018_blue_wsh_02 - 1of60,hittinghead_wall,testbed
selfharm_day_1018_blue_wsh_02 - 3of60,hittinghead_wall,testbed
